Govt Pub Number,Title,"Center/Office",X,Substance Abuse,Mental Health,Practitioner/Professional,General Public,,,,,,,,,
SMA15-4924,TIP 60: Using Technology-Based Therapeutic Tools in Behavioral Health Services,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
NMH05-0210,Psychological First Aid for First Responders: Tips for Emergency and Disaster Response Workers,CMHS,Disaster,,X,X,,,,,,,,,,
PEP12-NSSPGOALS,2012 National Strategy for Suicide Prevention: Goals and Objectives for Action-A Report of the U.S. Surgeon General and of the National Action Alliance for Suicide Prevention,CMHS,Suicide Prevention,,X,X,,,,,,,,,,
PEP16-CMHI2015,2015 Report to Congress for the Evaluation of the Comprehensive Community Mental Health Services for Children with Serious Emotional Disturbances,CMHS,n/a,,X,X,,,,,,,,,,
SMA16-4951,What Health Providers and Organizations Need to Know About Wellness,CMHS,Consumer Affairs,,X,X,,,,,,,,,,
PEP12-CMHI0608,Comprehensive Community Mental Health Services for Children and Their Families Program Evaluation Findings: Report to Congress 2006-2008,CMHS,n/a,,X,X,,,,,,,,,,
PEP12-RECDEF,SAMHSA's Working Definition of Recovery,CMHS,n/a,,X,X,X,,,,,,,,,
SMA16-4953,Learn the Eight Dimensions of Wellness (Poster),CMHS,Consumer Affairs,,X,X,X,,,,,,,,,
SMA13-4764,Community Conversations About Mental Health: Discussion Guide,CMHS,n/a,,X,X,,,,,,,,,,
SMA13-4763,Community Conversations About Mental Health: Information Brief,CMHS,n/a,,X,X,X,,,,,,,,,
PEP18-CMHI2016,2016 Report to Congress for the Comprehensive Community Mental Health Services for Children with Serious Emotional Disturbances,CMHS,n/a,,X,X,,,,,,,,,,
ADC10-SUICIDEP,"Teen Suicide Prevention, We Can Help Us Poster",CMHS,Suicide Prevention,,X,,X,,,,,,,,,
SMA09-4375,A Guide for Funeral Directors: Supporting Survivors of Suicide Loss,CMHS,Suicide Prevention,,X,X,,,,,,,,,,
SVP06-0155S,National Suicide Prevention Lifeline Wallet Card: Having Trouble Coping? (Spanish),CMHS,Suicide Prevention,,X,,X,,,,,,,,,
SMA16-4950SPANISH,What Individuals in Recovery Need to Know About Wellness (Spanish Version),CMHS,Consumer Affairs,,X,,X,,,,,,,,,
PEP12-CMHI2009,Comprehensive Community Mental Health Services for Children and Their Families Program Evaluation Findings: Report to Congress 2009,CMHS,n/a,,X,X,,,,,,,,,,
SMA13-4056,TIP 44:  Substance Abuse Treatment for Adults in the Criminal Justice System,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA12-4216,TIP 38: Integrating Substance Abuse Treatment and Vocational Services,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA18-5054,Clinical Guidance for Treating Pregnant and Parenting Women With Opioid Use Disorder and Their Infants,CSAT,DPT,X,X,X,,,,,,,,,,
SMA15-4442SPANISH,The Facts About Buprenorphine for Treatment of Opioid Addiction (Spanish version),CSAT,Knowledge Application Program,X,,,X,,,,,,,,,
SMA18-5063PT3,TIP 63: Medications for Opioid Use Disorder –  Pharmacotherapy for Opioid Use Disorder (Part 3 of 5),CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA15-4171,"TAP 21: Addiction Counseling Competencies: The Knowledge, Skills, and Attitudes of Professional Practice",CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA18-5063PT5,TIP 63:  Medications for Opioid Use Disorder –  Resources Related to Medications for Opioid Use Disorder (Part 5 of 5),CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA18-5063PT2,TIP 63: Medications for Opioid Use Disorder –  Addressing Opioid Use Disorder in General Medical Settings (Part 2 of 5),CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA14-4853,Take Action Against Hepatitis C: For People in Recovery From Mental Illness or Addiction,CSAT,Knowledge Application Program,X,X,,X,,,,,,,,,
SMA18-5063PT4,TIP 63:Medications for Opioid Use Disorder – Partnering Addiction Treatment Counselors with Clients and Healthcare Professionals (Part 4 of 5),CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA13-4152,Matrix Counselor's Treatment Manual,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA14-4126,What is Substance Abuse Treatment?  A Booklet for Families,CSAT,Knowledge Application Program,X,,,X,,,,,,,,,
SMA13-3992,TIP 42: Substance Abuse Treatment for Persons With Co-Occurring Disorders,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA15-4153,Matrix Intensive Outpatient Treatment for People with Stimulant Use Disorders: Counselor's Family Education Manual w/CD,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
PEP19-02-01-003,TIP 35: Enhancing Motivation for Change in Substance Use Disorder Treatment,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA14-4435,TIP 52: Clinical Supervision and Professional Development of the Substance Abuse Counselor,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA15-4154,Matrix Client's Handbook Intensive Outpatient Treatment for People With Stimulant Use Disorder,CSAT,Knowledge Application Program,X,X,X,X,,,,,,,,,
SMA13-4243,TAP 21-A: Competencies for Substance Abuse Treatment Clinical Supervisors,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA15-4784,Family Therapy Can Help: For People in Recovery From Mental Illness or Addiction,CSAT,Knowledge Application Program,X,X,,X,,,,,,,,,
SMA13-4182,TIP 47: Substance Abuse: Clinical Issues in Intensive Outpatient Treatment,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA15-4381,TIP 50:  Addressing Suicidal Thoughts and Behaviors in Substance Abuse Treatment,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA13-4353,TIP 48: Managing Depressive Symptoms in Substance Abuse Clients During Early Recovery,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA14-4155,Matrix Client's Treatment Companion Intensive Outpatient Treatment for People With Stimulant Use Disorders,CSAT,Knowledge Application Program,X,,X,X,,,,,,,,,
SMA15-4211,Brief Counseling for Marijuana Dependence:  A Manual for Treating Adults,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA14-4736,TIP 56: Addressing the Specific Behavioral Health Needs of Men,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA13-4803,TIP 58: Addressing Fetal Alcohol Spectrum Disorders (FASD) ,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA07-4188,Anger Management for Substance Abuse & Mental Health Clients (Spanish version),CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA12-4151,TIP 46: Substance Abuse: Administrative Issues in Outpatient Treatment,CSAT,Knowledge Application Program,X,,X,,,,,,,,,,
SMA15-4174,Faces of Change: Do I Have a Problem with Alcohol or Drugs?,CSAT,Knowledge Application Program,X,,X,X,,,,,,,,,
SMA13-4380,TIP 49: Incorporating Alcohol Pharmacotherapies Into Medical Practice,CSAT,Knowledge Application Program,X,,X,,,,,,,,,,
SMA14-4132,Helping Yourself Heal: A Recovering Woman's Guide to Coping With Childhood Abuse Issues,CSAT,Knowledge Application Program,,X,,X,,,,,,,,,
SMA13-4712,People Recover (Based on TIP 42),CSAT,Knowledge Application Program,X,X,,X,,,,,,,,,
SMA14-4134,Helping Yourself Heal: A Recovering Man's Guide to Coping with the Effects of Childhood Abuse,CSAT,Knowledge Application Program,,X,,X,,,,,,,,,
SMA16-5013,"Alcohol and Depression: Steve’s Path to a Better Life, a fotonovela is based on TIP 42, Substance Abuse Treatment for Persons With Co-Occurring Disorders",CSAT,n/a,X,X,,X,,,,,,,,,
SMA14-4781ENG,"No Longer Alone (A Story About Alcohol, Drugs, Depression, and Trauma), a fotonovela based on TIP 51, Substance Abuse Treatment: Addressing Specific Needs of Women",CSAT,Knowledge Application Program,X,X,,X,,,,,,,,,
SMA15-4782ENG,"Motivation for Change: John's Story-Consequences of His Heavy Drinking and His Recovery, based on TIP 35",CSAT,Knowledge Application Program,X,,,X,,,,,,,,,
SMA16-4966,Take Action Against Hepatitis C: Education Session Guide,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA12-4078,TIP 29: Substance Use Disorder Treatment for People With Physical and Cognitive Disabilities,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA10-4531,Quick Guide for Mental Health Professionals Based on TIP 42: Substance Abuse Treatment for Persons With Co-Occurring Disorders,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA18-5069QT,Quitting Tobacco Helping Your Clients to a Healthier Life,CSAT,DPT,X,,X,,,,,,,,,,
PEP17-TTHY-FLASH,Talk. They Hear You. Campaign Flash Drive,CSAP,Talk They Hear You,X,,,X,,,,,,,,,
SMA15-4755-ANNUALRPT,Talk. They Hear You: National Media Campaign for the Prevention of Underage Drinking - Annual Report,CSAP,Talk They Hear You,X,,X,,,,,,,,,,
SMA12-4684,Top Health Issues for LGBT Populations,CSAP,n/a,X,X,X,,,,,,,,,,
SVP-0125X,National Suicide Prevention Lifeline Card,CMHS,Suicide Prevention,,X,,X,,,,,,,,,
SMA14-4884,SAMHSA's Concept of Trauma and Guidance for a Trauma-Informed Approach,OBHE,n/a,X,X,X,,,,,,,,,,
SMA18-4742,Opioid Overdose Prevention Toolkit,CSAT,DPT,X,,X,X,,,,,,,,,
PEP15-FEDGUIDEOTP,Federal Guidelines for Opioid Treatment Programs,CSAT,DSI,X,,X,,,,,,,,,,
SMA17-BAROUS-16,"Behavioral Health Barometer, Volume 4",CBHSQ,n/a,X,X,X,,,,,,,,,,
SMA18-4357ENG,After an Attempt: A Guide for Taking Care of Your Family Member After Treatment in the Emergency Department,CMHS,Suicide Prevention,,X,,X,,,,,,,,,
SMA12-4159,Alcohol and Drug Addiction Happens in the Best of Families,CSAT,OCA,X,,,X,,,,,,,,,
SMA16-BARO-2015,"Behavioral Health Barometer, 2015",CBHSQ,n/a,X,X,X,,,,,,,,,,
SMA12-4668,TAP 32: Clinical Drug Testing in Primary Care,CSAT,Knowledge Application Program,X,,X,,,,,,,,,,
SMA15-4907,Medication for the Treatment of Alcohol Use Disorder: A Brief Guide,CSAT,DPT,X,,,X,,,,,,,,,
PEP19-MATBRIEFCJS,Medication-Assisted Treatment (MAT) in the Criminal Justice System: Brief Guidance to the States,OBHE,n/a,X,X,X,,,,,,,,,,
SMA12-3952,TIP 34: Brief Interventions and Brief Therapies for Substance Abuse,CSAT,Knowledge Application Program,X,,X,,,,,,,,,,
SMA19-5097,Principles of Community-Based Behavioral Health Services for Criminal Justice Involved Individuals,OBHE,n/a,X,X,X,,,,,,,,,,
PEP19-SCHOOL-GUIDE,Guidance to States and School Systems on Addressing Mental Health and Substance Use Issues in Schools,OCMO,n/a,X,X,X,,,,,,,,,,
SMA12-4104,"A Provider's Introduction to Substance Abuse Treatment for Lesbian, Gay, Bisexual, & Transgender Individuals",CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
PEP19-MATUSECJS,Use of Medication-Assisted Treatment for Opioid Use Disorder in Criminal Justice Settings,OPPI,n/a,X,X,X,,,,,,,,,,
SMA11-4664,"Substance Abuse Treatment: Group Therapy Inservice Training, Based on TIP 41",CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA10-4554,"Substance Abuse Treatment Advisory July 2010, Vol. 9, Issue 1: Protracted Withdrawal",CSAT,Knowledge Application Program,X,,X,,,,,,,,,,
SMA18-5071,Healthy Pregnancy Healthy Baby Fact Sheets,CSAT,DPT,X,,,X,,,,,,,,,
SMA18-5065,Crisis Intervention Team (CIT) Methods for Using Data to Inform Practice: A Step-by-Step Guide,CMHS,n/a,X,X,X,,,,,,,,,,
SMA13-4796,"Behavioral Health Barometer, 2013",CBHSQ,n/a,X,X,X,,,,,,,,,,
SMA17-5050,Suicide Clusters within American Indian and Alaska Native Communities: A Review of the Literature and Recommendations,CMHS,Suicide Prevention,,X,X,,,,,,,,,,
SMA15-4912,Quick Guide for Clinicians Based on TIP 57: Trauma-Informed Care in Behavioral Health Services,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA16-4960,Advisory: An Introduction to Bipolar Disorder and Co-Occurring Substance Use Disorders,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA15-4930,Screening and Assessment of Co-occurring Disorders in the Justice System,CMHS,n/a,X,X,X,,,,,,,,,,
SMA18-5093,Medicaid Coverage of Medication-Assisted Treatment for Alcohol and Opioid Use Disorders and of Medication for the Reversal of Opioid Overdose,OCMO,n/a,X,,X,,,,,,,,,,
SMA14-4813VIET,The Next Step Toward a Better Life Based on TIP 45 (Vietnamese),CSAT,Knowledge Application Program,X,,X,X,,,,,,,,,
PEP18-TREATMENT-LOC,Finding Quality Treatment for Substance Use Disorders,CSAT,DSI,X,,X,X,,,,,,,,,
SMA19-BARO-17-US,"Behavioral Health Barometer, Volume 5",CBHSQ,n/a,X,X,X,,,,,,,,,,
SMA18-4358SPAN,After an Attempt: A Guide for Taking Care of Your Family Member After Treatment in the Emergency Department (Spanish)123,CMHS,Suicide Prevention,,X,,X,,,,,,,,,
SMA18-5069QG,Implementing Tobacco Cessation Programs in Substance Use Disorder Treatment Settings,CSAT,DPT,X,,X,,,,,,,,,,
SMA10-4509,Permanent Supportive Housing Evidence-Based Practices (EBP KIT),CMHS,EBP Kits,,X,X,,,,,,,,,,
SMA17-5017,"Spotlight: Building Resilient and Trauma-Informed Communities –Worcester, MA: Healing Community by Sharing the Lived Experiences",OBHE,n/a,,X,X,X,,,,,,,,,
SMA16-4935,In Brief: Substance Use and Suicide: A Nexus Requiring A Public Health Approach,CSAP,n/a,X,X,X,,,,,,,,,,
PEP19‐ANTIPSYCHOTIC‐BP,Guidance on Strategies to Promote Best Practice in Antipsychotic Prescribing for Children and Adolescents,OCMO,n/a,X,,X,,,,,,,,,,
SMA13-4773,Medicaid Handbook: Interface with Behavioral Health Services,IEA,n/a,X,X,X,,,,,,,,,,
SMA17-5051,National Strategy for Suicide Prevention Implementation Assessment Report,CMHS,n/a,,,,,,,,,,,,,
SMA09-4427,Practice Guidelines: Core Elements in Responding to Mental Health Crises,CMHS,Consumer Affairs,,X,X,,,,,,,,,,
SMA14-4879,In Brief: An Introduction to Co-Occurring Borderline Personality Disorder and Substance Use Disorders,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA13-4671,TIP 54: Managing Chronic Pain in Adults With or in Recovery From Substance Use Disorders,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
PEP19-INAPPUSE-BR,Guidance on Inappropriate Use of Antipsychotics: Older Adults and People with Intellectual and Developmental Disabilities in Community Settings,OCMO,n/a,,X,X,,,,,,,,,,
SMA16-4993,Decisions in Recovery: Treatment for Opioid Use Disorders,CMHS,n/a,X,X,X,X,,,,,,,,,
SMA16-4932,Quick Guide for Administrators Based on TIP 59: Improving Cultural Competence,CSAT,Knowledge Application Program,,,,,,,,,,,,,
SMA15-4928,Ending Conversion Therapy: Supporting and Affirming LGBTQ Youth,IEA,n/a,,X,X,X,,,,,,,,,
SMA17-5044,Key Substance Use and Mental Health Indicators in the United States: Results from the 2016 National Survey on Drug Use and Health (NSDUH),CBHSQ,n/a,X,X,X,,,,,,,,,,
SMA12-4137,TIP 37: Substance Abuse Treatment for Persons With HIV/AIDS,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA16-5010,Understanding Anxiety Disorders Young Adult: Get the Facts,CMHS,CIHS,,X,,X,,,,,,,,,
SMA16-4989,In Brief: Rural Behavioral Health:  Telehealth Challenges and Opportunities,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA12-4700,Identifying Mental Health and Substance Use Problems of Children and Adolescents: A Guide for Child-Serving Organizations,CMHS,Systems of Care,X,X,X,,,,,,,,,,
SMA09-4454,What Are Peer Recovery Support Services?,CSAT,DSI,,,,,,,,,,,,,
PEP19-PL-Guide-3,First-Episode Psychosis and Co-Occurring Substance Use Disorders,OPPI,n/a,X,X,X,,,,,,,,,,
SMA12-4097,Quick Guide for Clinicians Based on TIP 35: Enhancing Motivation for Change in Substance Abuse Treatment,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
PEP19-OLDERADULTS-SMI,Older Adults Living with Serious Mental Illness: The State of the Behavioral Health Workforce,CMHS,n/a,,X,X,,,,,,,,,,
SMA15-4420,KAP Keys for Clinicians Based on TIP 57: Trauma-Informed Care in Behavioral Health Services,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA16-4998,Guidelines for Successful Transition of People with Mental or Substance Use Disorders from Jail and Prison: Implementation Guide,CMHS,CIHS,X,X,X,,,,,,,,,,
SMA10-4515,Promoting Emotional Health and Preventing Suicide: A Toolkit for Senior Living Communities (SPARK Kit),CMHS,Suicide Prevention,,X,X,,,,,,,,,,
SMA17-5053-1,"Rx Pain Medications, Know the Options, Get the Facts: Managing Your Pain: Which Approach is Right for You?",CSAP,n/a,,X,X,,,,,,,,,,
SMA12-4160,It Feels So Bad,CSAT,OCA,X,,,X,,,,,,,,,
SMA14-4852,In Brief: Adult Drug Courts and Medication-Assisted Treatment for Opioid Dependence,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA16-5004,Understanding Depression Young Adults: Get the Facts,CMHS,CIHS,,X,X,,,,,,,,,,
SMA05-4113,A Guide to Managing Stress in Crisis Response Professions,CMHS,Disaster,,X,X,,,,,,,,,,
SMA18-4742SPANISH,Opioid Overdose Prevention Toolkit (Spanish),CSAT,DPT,X,,X,X,,,,,,,,,
SMA10-4617,Advisory: Clients With Substance Use and Eating Disorders,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA14-4892R,Clinical Use of Extended-Release Injectable Naltrexone in the Treatment of Opioid Use Disorder: A Brief Guide,CSAT,DPT,X,,X,,,,,,,,,,
SMA14-4883,"Projections of National Expenditures for Treatment of Mental and Substance Use Disorders, 2010-2020",IEA,n/a,X,X,X,,,,,,,,,,
PEP19-5068,Key Substance Use and Mental Health Indicators in the United States: Results from the 2018 National Survey on Drug Use and Health,CBHSQ,n/a,X,X,X,,,,,,,,,,
SMA16-4971,Know Your Rights: Parity for Mental Health and Substance Use Disorder Benefits,IEA,n/a,X,X,,X,,,,,,,,,
PEP19-SCREEN-CODJS,Screening and Assessment of Co-Occurring Disorders in the Justice System,OBHE,n/a,X,X,X,,,,,,,,,,
SMA10-4548,"MedTEAM (Medication Treatment, Evaluation, and Management) Evidence-Based Practices (EBP) KIT",CMHS,EBP Kits,X,X,X,,,,,,,,,,
PEP19-PL-Guide-2,Preventing the Use of Marijuana: Focus on Women and Pregnancy,OPPI,n/a,X,,X,,,,,,,,,,
SMA09-4422,Family Psychoeducation Evidence-Based Practices (EBP) KIT,CMHS,EBP Kits,X,X,X,,,,,,,,,,
SMA10-4591,"Substance Abuse Treatment Advisory: Treating Clients With Traumatic Brain Injury; Vol. 9, Issue 2",CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA18-4355ENG,After an Attempt: A Guide for Taking Care of Yourself After Your Treatment in the Emergency Department,CMHS,Suicide Prevention,,X,,X,,,,,,,,,
SMA16-4982,Growing Older: Providing Integrated Care for An Aging Population,CMHS,CIHS,X,X,X,,,,,,,,,,
PEP19-CRISIS-RURAL,Tailoring Crisis Response and Pre-Arrest Diversion Models for Rural Communities,OBHE,n/a,X,X,X,,,,,,,,,,
SMA17-5014,Spotlight: Building Resilient and Trauma-Informed Communities – Introduction,IEA,n/a,X,X,X,X,,,,,,,,,
SMA12-4698,Using Matrix with Women Clients: A Supplement to the Matrix Intensive Outpatient Treatment for People with Stimulant Use Disorders,CSAT,DSI,X,X,X,,,,,,,,,,
SMA16-5006,Understanding A First Episode Of Psychosis Young Adult: Get the Facts,CMHS,CIHS,,X,,X,,,,,,,,,
SMA14-4848,"Crisis Services: Effectiveness, Cost-Effectiveness, and Funding Strategies",CMHS,n/a,,X,X,,,,,,,,,,
PEP19-02-00-001,Implementing Tobacco Cessation Treatment for Individuals with Serious Mental Illness: A Quick Guide for Program Directors and Clinicians,CSAT,n/a,,X,X,,,,,,,,,,
SMA16-5008,Understanding Bipolar Disorder Young Adult: Get the Facts,CMHS,CIHS,,X,,X,,,,,,,,,
PEP14-LGBTKIDS,A Practitioner's Resource Guide: Helping Families to Support Their LGBT Children,IEA,n/a,X,X,X,,,,,,,,,,
SMA16-4973,In Brief: Chronic Substance Use and Cognitive Effects on the Brain: An Introduction,CSAT,DSI,X,X,X,,,,,,,,,,
SMA16-4955,SAMHSA's Wellness Initiative: Wellness Community Power Point Presentation,CMHS,Consumer Affairs,X,X,X,,,,,,,,,,
PEP19-SIM-DATA,Data Collection Across the Sequential Intercept Model (SIM): Essential Measures,OBHE,n/a,X,X,X,,,,,,,,,,
SMA14-4888,Tips for Survivors: Coping With Grief After Community Violence,CMHS,Disaster,,X,X,X,,,,,,,,,
SMA16-4970,Suicide Prevention in Alaska Report,CMHS,Suicide Prevention,,X,X,,,,,,,,,,
SMA13-4757,Behavioral Health Treatment Needs Assessment Toolkit for States,IEA,n/a,X,X,X,,,,,,,,,,
SMA15-4925,Advisory: Adults With Attention Deficit Hyperactivity Disorder and Substance Use Disorders,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA15-4895,"Behavioral Health Barometer, 2014",CBHSQ,n/a,X,X,X,,,,,,,,,,
SMA11-4631,Treatment of Depression in Older Adults Evidence-Based Practices (EBP) KIT,CMHS,EBP Kits,,X,X,,,,,,,,,,
SMA12-4108,KAP Keys for Clinicians based on TIP 43: Medication-Assisted Treatment for Opioid Addiction in Opioid Treatment Programs,CSAT,Knowledge Application Program,X,,X,,,,,,,,,,
PEP19-MAT-CORRECTIONS,MAT Inside Correctional Facilities: Addressing Medication Diversion,OBHE,n/a,X,X,X,,,,,,,,,,
SMA16-4959,A Snapshot of Behavioral Health Issues for Asian American/Native Hawaiian/Pacific Islander Boys and Men: Jumpstarting an Overdue Conversation,OBHE,n/a,X,X,X,,,,,,,,,,
SMA18-4897,Report to Congress on the Prevention and Reduction of Underage Drinking,CSAP,n/a,X,,X,,,,,,,,,,
SMA16-5009,Understanding Anxiety Disorders Caregiver: Get the Facts,CMHS,CIHS,,X,,X,,,,,,,,,
SMA11-4633,Consumer-Operated Services Evidence-Based Practices (EBP) KIT,CMHS,EBP Kits,,X,X,X,,,,,,,,,
SMA16-4931,Quick Guide for Clinicians Based on TIP 59: Improving Cultural Competence,CSAT,Knowledge Application Program,,,,,,,,,,,,,
PEP18-TREATMENT-LOCS,Finding Quality Treatment for Substance Use Disorders (Spanish Version),CSAT,DSI,X,,,X,,,,,,,,,
PEP16-NTBH-AGENDA,The National Tribal Behavioral Health Agenda,IEA,n/a,X,X,X,,,,,,,,,,
PEP19-SIM-BROCHURE,Sequential Intercept Model Trifold Brochure,OBHE,n/a,X,X,X,,,,,,,,,,
SMA15-4032,Quick Guide for Clinicians Based on TIP 39: Substance Abuse Treatment and Family Therapy,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA13-4798,Findings from the National Evaluation of the Safe Schools/Healthy Students Initiative (2005-2008),CMHS,n/a,X,X,X,,,,,,,,,,
PEP19-PL-Guide-1,Substance Misuse Prevention for Young Adults,OPPI,n/a,X,,X,,,,,,,,,,
SMA08-4366,Integrated Treatment for Co-Occurring Disorders Evidence-Based Practices (EBP) KIT,CMHS,EBP Kits,X,X,X,,,,,,,,,,
SMA16-5005,Understanding A First Episode Of Psychosis Caregiver: Get the Facts,CMHS,CIHS,,X,,X,,,,,,,,,
SMA16-4994,Gathering of Native Americans Fact Sheet,CMHS,n/a,,X,X,X,,,,,,,,,
SMA04-3959,Mental Health Response to Mass Violence and Terrorism: A Training Manual,CMHS,Disaster,,X,X,,,,,,,,,,
SMA15-4416,Promoting Emotional Health and Preventing Suicide: A Toolkit for Senior Centers,CMHS,Suicide Prevention,,X,X,,,,,,,,,,
PEP17-ISMICC-RTC,The Way Forward: Federal Action for a System That Works for All People Living With SMI and SED and Their Families and Caregivers – Full Report,CMHS,n/a,,X,X,,,,,,,,,,
SMA11-4648,In Brief: Substance Use Disorders in People with Physical and Sensory Disabilities,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA16-4969,Preventing and Responding to Suicide Clusters in American Indian and Alaska Native Communities Report,CMHS,Suicide Prevention,,X,X,,,,,,,,,,
SMA12-3581,Quick Guide for Clinicians Based on TIP 24: A Guide to Substance Abuse Services for Primary Care Clinicians,CSAT,Knowledge Application Program,X,,X,,,,,,,,,,
SMA16-4975,"Substance Abuse and Mental Health Services Administration. Behavioral Health Spending and Use Accounts, 1986-2014",IEA,n/a,X,X,X,,,,,,,,,,
QGCT44,Quick Guide for Clinicians Based on TIP 44: Substance Abuse Treatment for Adults in the Criminal Justice System,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
PEP19-FACT-BR,Forensic Assertive Community Treatment (FACT): A Service Delivery Model for Individuals With Serious Mental Illness Involved With the Criminal Justice System,OBHE,n/a,,X,X,,,,,,,,,,
SMA16-4977,Advisory: Obsessive-Compulsive Disorder and Substance Use Disorders,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SVP07-0186,Promotion and Prevention in Mental Health: Strengthening Parenting and Enhancing Child Resilience,CMHS,n/a,,X,X,,,,,,,,,,
SMA16-4995,Suicide Prevention in Indian Country,CMHS,Suicide Prevention,,X,X,X,,,,,,,,,
SMA11-4636CLIN,Advisory: Tobacco Use Cessation During Substance Abuse Treatment Counseling,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA15-4783,You Can Manage Your Chronic Pain To Live a Good Life: A Guide for People in Recovery from Mental Illness or Addiction,CSAT,Knowledge Application Program,X,X,,X,,,,,,,,,
SMA16-5001,Understanding Obsessive Compulsive Disorder Caregiver: Get the Facts,CMHS,CIHS,,X,,X,,,,,,,,,
SMA16-5007,Understanding Bipolar Disorder Caregiver: Get the Facts,CMHS,CIHS,,X,,X,,,,,,,,,
SMA19-5094-IS,Medications to Treat Opioid Use Disorder During Pregnancy– Information For Providers ,CSAT,n/a,X,,X,,,,,,,,,,
SMA14-4886SPANISH,"Talking With Children: Tips for Caregivers, Parents, and Teachers During Infectious Disease Outbreaks (Spanish)",CMHS,Disaster,,X,X,X,,,,,,,,,
PEP19-04-01-001,Intensive Care Coordination for Children and Youth with Complex Mental and Substance Use Disorders: STATE AND COMMUNITY PROFILES,OBHE,n/a,X,X,X,,,,,,,,,,
SMA12-4133,Helping Yourself Heal: A Woman's Guide to Coping With the Effects of Childhood Abuse Issues (Spanish Version),CSAT,Knowledge Application Program,X,X,,X,,,,,,,,,
SMA14-4821,Strategies for Behavioral Health Organizations to Promote New Health Insurance Opportunities In American Indian and Alaska Native Communities,IEA,n/a,X,X,X,,,,,,,,,,
SMA16-5011,Understanding Attention-Deficit/Hyperactivity Disorder Caregiver: Get the Facts,CMHS,CIHS,,X,,X,,,,,,,,,
SMA11-4634,Interventions for Disruptive Behavior Disorders Evidence-Based Practices (EBP) KIT,CMHS,EBP Kits,,X,X,X,,,,,,,,,
SMA08-4321,"15+ Make Time To Listen, Take Time To Talk...About Bullying: Conversation Starter Cards",CMHS,n/a,,X,,X,,,,,,,,,
SMA05-4025,"Mental Health Response to Mass Violence and Terrorism, A Field Guide",CMHS,Disaster,,X,X,,,,,,,,,,
SMA16-5003,Understanding Depression Caregiver: Get the Facts,CMHS,CIHS,,X,X,,,,,,,,,,
SMA15-4929,Municipal Courts: An Effective Tool for Diverting People with Mental and Substance Use Disorders from the Criminal Justice System,CMHS,n/a,X,X,X,,,,,,,,,,
SMA12-4688,Pharmacologic Guidelines for Treating Individuals with Post-Traumatic Stress Disorder and Co-Occurring Opioid Use Disorders,CSAT,n/a,X,X,X,,,,,,,,,,
