"Govt Pub Number",Title,Format,"Office or Center",Program/Campaign,"Publication Date","Item Owner","Available Qty","Allocated Qty","On Hand Qty","Max Order Qty","Published Status","Stock Status","Display Mode",Pallets,"Location of Product"
PEP20-01-01-019,"Te sientes estresado o ansioso por la pandemia de COVID-19?",Flyer,CMHS,EMHTSSB,"09/10/2020 - 08:00","Julie Liu",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-01-01-020,"Tips for Survivors of a Pandemic: Managing Stress","Fact Sheet",CMHS,EMHTSSB,"10/23/2020 - 08:00","Julie Liu",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-01-01-021,"Consejos para profesionales de la salud: Cómo enfrentar el estrés y la fatiga por compasión","Fact Sheet",CMHS,,"09/21/2020 - 08:00","Julie Liu",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-01-01-022,"Hable con los niños: Consejos para cuidadores, padres de familia y maestros durante brotes de enfermedades infecciosas","Fact Sheet",CMHS,,"10/20/2020 - 08:00","Julie Liu",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-01-01-023,"Have You Experienced a Disaster? (Spanish version) - ¿Ha experimentado un desastre?",Poster,CMHS,,"10/28/2020 - 08:00","Julie Liu",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-01-01-024,"Have Your or Your Family Experienced a Disaster? (Spanish version) - ¿Usted y su familia han sidoafectados por un desastre?",Poster,CMHS,,"11/03/2020 - 07:00","Julie Liu",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-01-01-047,"Talk. They Hear You: Find New Ways to Talk as She Gets Older. Print Public Service Announcement – Square",Square,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-01-02-001,"The Comprehensive Community Mental Health Services for Children with Serious Emotional Disturbances Program: 2017 Report to Congress",Report,,,"01/30/2020 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-02-01-004,"TIP 42: Substance Abuse Treatment for Persons With Co-Occurring Disorders","Guidelines or Manual",CSAT,,"03/12/2020 - 08:00","Suzanne Wise",0,0,0,1,Published,"OUT OF STOCK",External,0,
PEP20-02-01-005,"TIP 63: Medications for Opioid Use Disorder - Executive Summary","Guidelines or Manual",CSAT,,"05/01/2020 - 08:00","Suzanne Wise",4287,12,4299,10,Published,"IN STOCK",External,1,D-18A
PEP20-02-01-006,"TIP 63: Medications for Opioid Use Disorder - Full Document","Guidelines or Manual",CSAT,,"05/01/2020 - 08:00","Suzanne Wise",12361,88,12449,5,Published,"IN STOCK",External,14.33,"A-21A, A-28A, A-45A, A-45B, A-47A, A-50A, B-13B, B-17A, D-24A, D-24B, D-33A, D-33B, D-41B, D-42B, D-44A, D-44B, D-46B, D-48B"
PEP20-02-01-007,"Anger Management for Substance Use Disorder and Mental Health Clients: Participant Workbook - Spanish Version",Workbook,CSAT,,"06/05/2020 - 08:00","Suzanne Wise",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-02-01-008,"Anger Management for Substance Use Disorder and Mental Health Clients: A Cognitive-Behavioral Therapy Manual - Spanish Version","Guidelines or Manual",CSAT,,"06/05/2020 - 08:00","Suzanne Wise",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-02-01-009,"Anger Management for Substance Use Disorder and Mental Health Clients: Participant Workbook - Korean Version",Workbook,CSAT,,"06/05/2020 - 08:00","Suzanne Wise",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-02-01-010,"Anger Management for Substance Use Disorder and Mental Health Clients: A Cognitive-Behavioral Therapy Manual - Korean Version","Guidelines or Manual",CSAT,,"06/05/2020 - 08:00","Suzanne Wise",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-02-01-011,"Treatment Improvement Protocol (TIP) 26: Treating Substance Use Disorder in Older Adults","Guidelines or Manual",CSAT,KAP/TIP,"09/21/2020 - 08:00","Suzanne Wise",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-02-01-019,"Integrating Vocational Services into Substance Use Disorder Treatment",Advisory,CSAT,KAP/TIP,"01/08/2021 - 07:00","Suzanne Wise",0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-02-01-020,"Group Therapy in Substance Use Treatment",Advisory,CSAT,KAP/TIP,"01/08/2021 - 07:00","Suzanne Wise",0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-02-02-012,"Treatment Improvement Protocol (TIP) 39: Substance Use Disorder Treatment and Family Therapy","Guidelines or Manual",CSAT,KAP/TIP,"09/15/2020 - 08:00","Suzanne Wise",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-02-02-013,"Advisory: Comprehensive Case Management for Substance Use Disorder Treatment: An Overview",Advisory,CSAT,KAP/TIP,"01/19/2021 - 07:00","Suzanne Wise",0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-02-02-014,"Advisory: Using Motivational Interviewing in Substance Use Disorder Treatment",Advisory,CSAT,KAP/TIP,"01/19/2021 - 07:00","Suzanne Wise",0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-02-02-016,"The Importance of Family Therapy in Substance Use Disorder Treatment",Advisory,CSAT,KAP/TIP,"01/08/2021 - 07:00","Suzanne Wise",0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-002,"Talk. They Hear You. Talking with Your Teen About Opioids: Keeping Your Kids Safe – Parent Brochure",Brochure,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40100,0,40100,,"Not Published","IN STOCK",External,0,"Pick Area"
PEP20-03-01-003,"Talk. They Hear You. Five Conversation Goals: Talking with Teens About Alcohol and Other Drugs – Mini Brochure",Brochure,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-004,"Talk. They Hear You. Talking with Your Teen About Marijuana: Keeping Your Kids Safe – Parent Brochure",Brochure,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40100,0,40100,,"Not Published","IN STOCK",External,0,"Pick Area"
PEP20-03-01-005,"Talk. They Hear You.: When You're Hanging Out at the Park – Print Public Service Announcement Flyer",Flyer,CSAP,,"09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-006,"Talk. They Hear You.: When You're Hanging Out at the Park – Print Public Service Announcement Postcard",Postcard,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-007,"Talk. They Hear You: When You're Hanging Out at the Park – Square",Square,CSAP,,"09/01/2019 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-008,"Talk. They Hear You.: When You're Hanging Out at the Park – Print Public Service Announcement Wallet Card","Wallet Card",CSAP,,"09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-009,"Talk. They Hear You.:  Help Them Succeed On and Off the Court – Print Public Service Announcement Flyer",Flyer,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-010,"Talk.  They Hear You.:  Help Them Succeed On and Off the Court – Print Public Service Announcement Postcard",Postcard,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-011,"Talk. They Hear You:  Help Them Succeed On and Off the Court – Square",Square,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-012,"Talk. They Hear You.:  Help Them Succeed On and Off the Court – Print Public Service Announcement Wallet Card","Wallet Card",CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-013,"Talk. They Hear You.: Choose Informal Times to Talk as She Gets Older – Print Public Service Announcement Flyer",Flyer,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-014,"Talk. They Hear You.: Choose Informal Times to Talk as She Gets Older – Print Public Service Announcement Postcard",Postcard,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-015,"Talk. They Hear You:  Choose Informal Times to Talk as She Gets Older – Square",Square,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-016,"Talk. They Hear You.: Choose Informal Times to Talk as She Gets Older – Print Public Service Announcement Wallet Card","Wallet Card",CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-017,"Talk. They Hear You.: Before Dropping Her Off at the Party – Print Public Service Announcement Flyer",Flyer,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-018,"Talk. They Hear You.: Before Dropping Her Off at the Party – Print Public Service Announcement Postcard",Postcard,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-019,"Talk. They Hear You:  Before Dropping Her Off at the Party – Square",Square,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-020,"Talk. They Hear You.: Before Dropping Her Off at the Party – Print Public Service Announcement Wallet Card","Wallet Card",CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-021,"Talk. They Hear You.: On Your Way to Practice – Print Public Service Announcement Flyer",Flyer,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-022,"Talk. They Hear You.: On Your Way to Practice – Print Public Service Announcement Postcard",Postcard,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-023,"Talk.  They Hear You:  On Your Way to Practice – Square",Square,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-024,"Talk. They Hear You.: On Your Way to Practice – Print Public Service Announcement Wallet Card","Wallet Card",CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-025,"Talk. They Hear You.: Make Regular Conversations Part of the Routine – Print Public Service Announcement Flyer",Flyer,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-026,"Talk. They Hear You.: Make Regular Conversations Part of the Routine – Print Public Service Announcement Postcard",Postcard,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-027,"Talk. They Hear You:  Make Regular Conversations Part of the Routine – Square",Square,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-028,"Talk. They Hear You.: Make Regular Conversations Part of the Routine – Print Public Service Announcement Wallet Card","Wallet Card",CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-029,"Talk. They Hear You.: Before She Hits the Practice Field – Print Public Service Announcement Flyer",Flyer,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-030,"Talk.  They Hear You.: Before She Hits the Practice Field – Print Public Service Announcement Postcard",Postcard,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-031,"Talk. They Hear You:  Before She Hits the Practice Field. Print Public Service Announcement – Square",Square,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-032,"Talk. They Hear You.: Before She Hits the Practice Field – Print Public Service Announcement Wallet Card","Wallet Card",CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-033,"Talk. They Hear You.: Set Her Up for Success In and Out of the Classroom – Print Public Service Announcement Flyer",Flyer,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-034,"Talk. They Hear You.: Set Her Up for Success In and Out of the Classroom – Print Public Service Announcement Postcard",Postcard,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-035,"Talk. They Hear You: Set Her Up for Success In and Out of the Classroom. Print Public Service Announcement – Square",Square,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-036,"Talk. They Hear You.: Set Her Up for Success In and Out of the Classroom – Print Public Service Announcement Wallet Card","Wallet Card",CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-037,"Talk. They Hear You.: Set Them Up for Success In and Out of the Classroom – Print Public Service Announcement Flyer",Flyer,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-038,"Talk. They Hear You.: Set Them Up for Success In and Out of the Classroom – Print Public Service Announcement Postcard",Postcard,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-039,"Talk. They Hear You: Set Them Up for Success In and Out of the Classroom. Print Public Service Announcement – Square",Square,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-040,"Talk. They Hear You.: Set Them Up for Success In and Out of the Classroom – Print Public Service Announcement Wallet Card","Wallet Card",CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-041,"Talk. They Hear You.: Start Talking Before She Heads Off to School - Print Public Service Announcement Flyer",Flyer,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-042,"Talk. They Hear You.: Start Talking Before She Heads Off to School - Print Public Service Announcement Postcard",Postcard,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-043,"Talk. They Hear You: Start Talking Before She Heads Off to School. Print Public Service Announcement – Square",Square,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-044,"Talk. They Hear You.: Start Talking Before She Heads Off to School - Print Public Service Announcement Wallet Card","Wallet Card",CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-045,"Talk. They Hear You.: Find New Ways to Talk as She Gets Older – Print Public Service Announcement Flyer",Flyer,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-046,"Talk. They Hear You.: Find New Ways to Talk as She Gets Older – Print Public Service Announcement Postcard",Postcard,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-048,"Talk. They Hear You.: Find New Ways to Talk as She Gets Older – Print Public Service Announcement Wallet Card","Wallet Card",CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-049,"Talk. They Hear You.: Before She Makes Plans with Friends - Print Public Service Announcement Flyer",Flyer,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-050,"Talk. They Hear You.: Before She Makes Plans with Friends - Print Public Service Announcement Postcard",Postcard,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-051,"Talk. They Hear You: Before She Makes Plans with Friends. Print Public Service Announcement – Square",Square,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-052,"Talk. They Hear You.: Before She Makes Plans with Friends - Print Public Service Announcement Wallet Card","Wallet Card",CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-053,"Talk. They Hear You.: Before They Make Plans with Friends – Print Public Service Announcement Flyer",Flyer,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-054,"Talk. They Hear You.: Before They Make Plans with Friends – Print Public Service Announcement Postcard",Postcard,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-055,"Talk. They Hear You: Before They Make Plans with Friends. Print Public Service Announcement – Square",Square,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-056,"Talk. They Hear You.: Before They Make Plans with Friends – Print Public Service Announcement Wallet Card","Wallet Card",CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-057,"Talk. They Hear You.: Before She Gets Behind the Wheel - Print Public Service Announcement Flyer",Flyer,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-058,"Talk. They Hear You.: Before She Gets Behind the Wheel - Print Public Service Announcement Postcard",Postcard,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-059,"Talk. They Hear You: Before She Gets Behind the Wheel. Print Public Service Announcement – Square",Square,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-060,"Talk. They Hear You.: Before She Gets Behind the Wheel - Print Public Service Announcement Wallet Card","Wallet Card",CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-061,"Talk. They Hear You.: Before They Get Behind the Wheel – Print Public Service Announcement Flyer",Flyer,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-062,"Talk. They Hear You.: Before They Get Behind the Wheel - Print Public Service Announcement Postcard",Postcard,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-063,"Talk. They Hear You: Before They Get Behind the Wheel. Print Public Service Announcement – Square",Square,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-064,"Talk. They Hear You.: Before They Get Behind the Wheel - Print Public Service Announcement Wallet Card","Wallet Card",CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",40000,0,40000,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-065,"Talk. They Hear You. Community Engagement Resources: Campaign Implementation Guide","Guidelines or Manual",CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-066,"Talk. They Hear You. Community Engagement Resources: Event Planning Toolkit","Guidelines or Manual",CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-067,"Talk. They Hear You. Community Engagement Resources: Media Toolkit","Guidelines or Manual",CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-068,"Talk. They Hear You. Student Assistance Discussion Starter Video Guide","Guidelines or Manual",CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-069,"Talk. They Hear You. Student Assistance: Get the Full Picture (Educators) - 11x17 Poster",Poster,CSAP,"Talk. They Hear You.","10/19/2020 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-070,"Talk. They Hear You. Student Assistance: Get the Full Picture (Educators) - 18x24 Poster",Poster,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",8025,0,8025,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-071,"Talk. They Hear You. Student Assistance: Get the Full Picture (Educators) - 24x36 Poster",Poster,CSAP,"Talk. They Hear You.","10/19/2020 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-072,"Talk. They Hear You. Student Assistance: Get the Full Picture (Parents) - 11x17 Poster",Poster,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-073,"Talk. They Hear You. Student Assistance: Get the Full Picture (Parents) - 18x24 Poster",Poster,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",8025,0,8025,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-074,"Talk. They Hear You. Student Assistance: Get the Full Picture (Parents) - 24x36 Poster",Poster,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-075,"Talk. They Hear You. Student Assistance: You Are Not Alone (Educators) - 18x24 Poster",Poster,CSAP,"Talk. They Hear You.","10/19/2020 - 08:00","Robert Vincent",8025,0,8025,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-076,"Talk. They Hear You. Student Assistance: You Are Not Alone (Educators) - 24x36 Poster",Poster,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-077,"Talk. They Hear You. Student Assistance: You Are Not Alone (Educators) - 11x17 Poster",Poster,CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-078,"Talk. They Hear You. Student Assistance Resources Guide","Guidelines or Manual",CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-079,"2019 Talk. They Hear You. Annual Report",Report,CSAP,,"09/01/2019 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-01-080,"Talk. They Hear You. Talking with Your Teen About Vaping: Keeping Your Kids Safe – Parent Brochure",Brochure,CSAP,"Talk.  They Hear You.","09/01/2019 - 08:00","Robert Vincent",40100,0,40100,,"Not Published","ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-03-01-081,"Talk. They Hear You. Catalog of Campaign Support Materials","Campaign or Initiative",CSAP,"Talk. They Hear You.","09/01/2019 - 08:00","Robert Vincent",3060,0,3060,5,"Not Published","IN STOCK",External,0,"Pick Area"
PEP20-03-01-082,"Talk. They Hear You.: Choose Informal Times to Talk as She Gets Older – Window Cling","Window Cling",CSAP,"Talk. They Hear You.","07/13/2020 - 08:00","Robert Vincent",0,0,0,15,Published,"OUT OF STOCK",External,0,
PEP20-03-01-083,"Talk. They Hear You.:  Make Regular Conversations Part of the Routine – Window Cling","Window Cling",CSAP,"Talk. They Hear You.","07/13/2020 - 08:00","Robert Vincent",0,0,0,15,Published,"OUT OF STOCK",External,0,
PEP20-03-01-084,"Talk. They Hear You.: Find New Ways to Talk as She Gets Older – Window Cling","Window Cling",CSAP,"Talk. They Hear You.","07/13/2020 - 08:00","Robert Vincent",0,0,0,15,Published,"OUT OF STOCK",External,0,
PEP20-03-01-085,"Talk. They Hear You.: Before They Make Plans with Friends – Window Cling","Window Cling",CSAP,"Talk. They Hear You.","07/13/2020 - 08:00","Robert Vincent",0,0,0,15,Published,"OUT OF STOCK",External,0,
PEP20-03-01-086,"2020 Talk. They Hear You. Partner Toolkit Flash Drive","Promotional Item",CSAP,"Talk. They Hear You.","09/24/2020 - 08:00","Robert Vincent",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
